in:40 out:37 type:P q:29.02 q-aq:23.52 q-noVbv:29.02 q-Rceq:1.08 tex:8225 mv:1092 misc:615 icu:0.00 pcu:126.25 scu:383.75 sc:0 ;
in:38 out:38 type:B q:30.31 q-aq:28.84 q-noVbv:30.31 q-Rceq:1.08 tex:21 mv:154 misc:115 icu:0.00 pcu:2.00 scu:508.00 sc:0 ;
in:37 out:39 type:b q:31.53 q-aq:31.22 q-noVbv:31.53 q-Rceq:1.08 tex:0 mv:70 misc:49 icu:0.00 pcu:0.00 scu:510.00 sc:0 ;
in:39 out:40 type:b q:31.37 q-aq:30.38 q-noVbv:31.37 q-Rceq:1.08 tex:0 mv:79 misc:67 icu:0.00 pcu:0.00 scu:510.00 sc:0 ;
in:44 out:41 type:P q:28.56 q-aq:23.19 q-noVbv:28.56 q-Rceq:1.08 tex:9994 mv:1431 misc:718 icu:1.00 pcu:121.25 scu:387.75 sc:0 ;
in:42 out:42 type:B q:29.92 q-aq:29.19 q-noVbv:29.92 q-Rceq:1.08 tex:9 mv:127 misc:102 icu:0.00 pcu:5.00 scu:505.00 sc:0 ;
in:41 out:43 type:b q:31.18 q-aq:30.22 q-noVbv:31.18 q-Rceq:1.08 tex:0 mv:70 misc:61 icu:0.00 pcu:1.00 scu:509.00 sc:0 ;
in:43 out:44 type:b q:30.94 q-aq:30.22 q-noVbv:30.94 q-Rceq:1.08 tex:0 mv:73 misc:72 icu:0.00 pcu:0.00 scu:510.00 sc:0 ;
in:48 out:45 type:P q:28.27 q-aq:22.37 q-noVbv:28.27 q-Rceq:1.08 tex:9603 mv:1250 misc:714 icu:1.00 pcu:110.75 scu:398.25 sc:0 ;
in:46 out:46 type:B q:29.55 q-aq:29.20 q-noVbv:29.55 q-Rceq:1.08 tex:2 mv:151 misc:115 icu:0.00 pcu:1.50 scu:508.50 sc:0 ;
in:45 out:47 type:b q:30.76 q-aq:30.22 q-noVbv:30.76 q-Rceq:1.08 tex:0 mv:85 misc:64 icu:0.00 pcu:0.00 scu:510.00 sc:0 ;
in:47 out:48 type:b q:30.62 q-aq:30.22 q-noVbv:30.62 q-Rceq:1.08 tex:0 mv:96 misc:82 icu:0.00 pcu:0.00 scu:510.00 sc:0 ;
in:52 out:49 type:P q:27.99 q-aq:22.48 q-noVbv:27.99 q-Rceq:1.08 tex:11473 mv:1531 misc:687 icu:1.50 pcu:121.00 scu:387.50 sc:0 ;
in:50 out:50 type:B q:29.27 q-aq:28.10 q-noVbv:29.27 q-Rceq:1.08 tex:17 mv:157 misc:112 icu:0.00 pcu:3.00 scu:507.00 sc:0 ;
in:49 out:51 type:b q:30.47 q-aq:29.38 q-noVbv:30.47 q-Rceq:1.08 tex:0 mv:72 misc:50 icu:0.00 pcu:0.00 scu:510.00 sc:0 ;
in:51 out:52 type:b q:30.33 q-aq:29.38 q-noVbv:30.33 q-Rceq:1.08 tex:0 mv:89 misc:74 icu:0.00 pcu:0.00 scu:510.00 sc:0 ;
in:56 out:53 type:P q:27.85 q-aq:22.39 q-noVbv:27.85 q-Rceq:1.08 tex:11341 mv:1288 misc:654 icu:0.75 pcu:120.75 scu:388.50 sc:0 ;
in:54 out:54 type:B q:29.05 q-aq:28.22 q-noVbv:29.05 q-Rceq:1.08 tex:1 mv:143 misc:93 icu:0.00 pcu:0.25 scu:509.75 sc:0 ;
in:53 out:55 type:b q:30.22 q-aq:29.22 q-noVbv:30.22 q-Rceq:1.08 tex:0 mv:79 misc:52 icu:0.00 pcu:0.00 scu:510.00 sc:0 ;
in:55 out:56 type:b q:30.15 q-aq:29.22 q-noVbv:30.15 q-Rceq:1.08 tex:0 mv:69 misc:76 icu:0.00 pcu:0.00 scu:510.00 sc:0 ;
in:60 out:57 type:P q:27.68 q-aq:22.08 q-noVbv:27.68 q-Rceq:1.08 tex:11289 mv:1491 misc:718 icu:2.00 pcu:120.75 scu:387.25 sc:0 ;
in:58 out:58 type:B q:28.90 q-aq:28.20 q-noVbv:28.90 q-Rceq:1.08 tex:4 mv:194 misc:124 icu:0.00 pcu:6.50 scu:503.50 sc:0 ;
in:57 out:59 type:b q:30.08 q-aq:29.22 q-noVbv:30.08 q-Rceq:1.08 tex:0 mv:80 misc:56 icu:0.00 pcu:0.00 scu:510.00 sc:0 ;
in:59 out:60 type:b q:29.99 q-aq:29.22 q-noVbv:29.99 q-Rceq:1.08 tex:0 mv:80 misc:84 icu:0.00 pcu:0.00 scu:510.00 sc:0 ;
in:64 out:61 type:P q:27.55 q-aq:22.26 q-noVbv:27.55 q-Rceq:1.08 tex:9428 mv:1356 misc:711 icu:0.50 pcu:89.75 scu:419.75 sc:0 ;
in:62 out:62 type:B q:28.75 q-aq:28.20 q-noVbv:28.75 q-Rceq:1.08 tex:2 mv:155 misc:100 icu:0.00 pcu:4.50 scu:505.50 sc:0 ;
in:61 out:63 type:b q:29.92 q-aq:29.22 q-noVbv:29.92 q-Rceq:1.08 tex:0 mv:72 misc:73 icu:0.00 pcu:0.00 scu:510.00 sc:0 ;
in:63 out:64 type:b q:29.86 q-aq:29.22 q-noVbv:29.86 q-Rceq:1.08 tex:0 mv:114 misc:82 icu:0.00 pcu:0.00 scu:510.00 sc:0 ;
in:68 out:65 type:P q:27.31 q-aq:21.31 q-noVbv:27.31 q-Rceq:1.08 tex:11276 mv:1433 misc:738 icu:2.75 pcu:109.25 scu:398.00 sc:0 ;
in:66 out:66 type:B q:28.57 q-aq:28.20 q-noVbv:28.57 q-Rceq:1.08 tex:0 mv:125 misc:106 icu:0.00 pcu:0.25 scu:509.75 sc:0 ;
in:65 out:67 type:b q:29.76 q-aq:29.22 q-noVbv:29.76 q-Rceq:1.08 tex:0 mv:73 misc:72 icu:0.00 pcu:0.00 scu:510.00 sc:0 ;
in:67 out:68 type:b q:29.64 q-aq:29.22 q-noVbv:29.64 q-Rceq:1.08 tex:0 mv:71 misc:85 icu:0.00 pcu:0.00 scu:510.00 sc:0 ;
in:72 out:69 type:P q:27.19 q-aq:21.62 q-noVbv:27.19 q-Rceq:1.08 tex:11103 mv:1432 misc:707 icu:0.75 pcu:113.25 scu:396.00 sc:0 ;
in:70 out:70 type:B q:28.39 q-aq:27.36 q-noVbv:28.39 q-Rceq:1.08 tex:1 mv:128 misc:104 icu:0.00 pcu:0.25 scu:509.75 sc:0 ;
in:69 out:71 type:b q:29.55 q-aq:29.22 q-noVbv:29.55 q-Rceq:1.08 tex:0 mv:57 misc:58 icu:0.00 pcu:0.00 scu:510.00 sc:0 ;
in:71 out:72 type:b q:29.49 q-aq:28.38 q-noVbv:29.49 q-Rceq:1.08 tex:0 mv:84 misc:83 icu:0.00 pcu:0.00 scu:510.00 sc:0 ;
in:76 out:73 type:P q:27.06 q-aq:21.56 q-noVbv:27.06 q-Rceq:1.08 tex:11474 mv:1487 misc:686 icu:0.50 pcu:121.00 scu:388.50 sc:0 ;
in:74 out:74 type:B q:28.26 q-aq:26.99 q-noVbv:28.26 q-Rceq:1.08 tex:14 mv:110 misc:104 icu:0.00 pcu:4.00 scu:506.00 sc:0 ;
