#options: 480x270 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=8 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=250 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:47 out:48 type:b dur:2 cpbdur:2 q:23.57 aq:16.41 tex:182 mv:227 misc:263 imb:0 pmb:32 smb:478 d:- ref:0 ;
in:52 out:49 type:P dur:2 cpbdur:2 q:23.02 aq:12.65 tex:22102 mv:929 misc:313 imb:3 pmb:170 smb:337 d:- ref:0 ;
in:50 out:50 type:B dur:2 cpbdur:2 q:23.24 aq:17.32 tex:596 mv:548 misc:344 imb:0 pmb:65 smb:445 d:- ref:0 ;
in:49 out:51 type:b dur:2 cpbdur:2 q:23.35 aq:17.42 tex:323 mv:221 misc:240 imb:0 pmb:29 smb:481 d:- ref:0 ;
in:51 out:52 type:b dur:2 cpbdur:2 q:23.13 aq:17.73 tex:124 mv:243 misc:273 imb:0 pmb:35 smb:475 d:- ref:0 ;
in:56 out:53 type:P dur:2 cpbdur:2 q:22.58 aq:13.61 tex:22772 mv:951 misc:293 imb:3 pmb:183 smb:324 d:- ref:0 ;
in:54 out:54 type:B dur:2 cpbdur:2 q:22.80 aq:17.73 tex:809 mv:522 misc:333 imb:0 pmb:69 smb:441 d:- ref:0 ;
in:53 out:55 type:b dur:2 cpbdur:2 q:22.91 aq:18.86 tex:130 mv:258 misc:244 imb:0 pmb:30 smb:480 d:- ref:0 ;
in:55 out:56 type:b dur:2 cpbdur:2 q:22.69 aq:13.27 tex:74 mv:173 misc:249 imb:0 pmb:30 smb:480 d:- ref:0 ;
in:60 out:57 type:P dur:2 cpbdur:2 q:22.30 aq:12.69 tex:23838 mv:963 misc:295 imb:2 pmb:170 smb:338 d:- ref:0 ;
in:58 out:58 type:B dur:2 cpbdur:2 q:22.44 aq:17.71 tex:1133 mv:616 misc:363 imb:0 pmb:83 smb:427 d:- ref:0 ;
in:57 out:59 type:b dur:2 cpbdur:2 q:22.51 aq:18.91 tex:184 mv:244 misc:244 imb:0 pmb:32 smb:478 d:- ref:0 ;
in:59 out:60 type:b dur:2 cpbdur:2 q:22.37 aq:15.64 tex:499 mv:306 misc:323 imb:0 pmb:42 smb:468 d:- ref:0 ;
in:64 out:61 type:P dur:2 cpbdur:2 q:22.11 aq:13.18 tex:21324 mv:872 misc:308 imb:1 pmb:165 smb:344 d:- ref:0 ;
in:62 out:62 type:B dur:2 cpbdur:2 q:22.21 aq:16.12 tex:791 mv:515 misc:390 imb:0 pmb:71 smb:439 d:- ref:0 ;
